Title,URL,Speed,StartPos,Memo
"Robbie Nevil   C'est la vie (Official Music Video)",https://www.youtube.com/watch?v=ffxDkzlX41s,1.1,0.000,""
"Simply Red - The Right Thing (Official Video)",https://www.youtube.com/watch?t=8&v=jLTJ5ktfyw8,1.1,8.180,""
"The Kane Gang - Motor Town",https://www.youtube.com/watch?v=VyvXpo550sc,1.1,8.180,""
"Mandy Smith - I Just Can't Wait (Official HD Video)",https://www.youtube.com/watch?t=4&v=Js9vvKIO5gE,1.05,4.823,""
"Show Me",https://www.youtube.com/watch?v=zctPuZms6GU,1.03,0.000,""
"Still in Love",https://www.youtube.com/watch?v=l6LZIRz3ZaY,1.03,0.000,""
"George Michael - I Want Your Sex (Stereo Version)",https://www.youtube.com/watch?v=vldh7oQD-a4,1.03,0.000,""
"Duel au soleil (2006 Remaster)",https://www.youtube.com/watch?v=UuNXY0Jjdik,1.03,0.000,""
"Duel au soleil (2006 Remaster)",https://www.youtube.com/watch?t=4&v=UuNXY0Jjdik,1.03,4.868,""
"Robbie Nevil   C'est la vie (Official Music Video)",https://www.youtube.com/watch?v=ffxDkzlX41s,1.1,0.000,""
"Simply Red - The Right Thing (Official Video)",https://www.youtube.com/watch?t=8&v=jLTJ5ktfyw8,1.1,8.180,""
"The Kane Gang - Motor Town",https://www.youtube.com/watch?v=VyvXpo550sc,1.1,8.180,""
"Mandy Smith - I Just Can't Wait (Official HD Video)",https://www.youtube.com/watch?t=4&v=Js9vvKIO5gE,1.05,4.823,""
"Show Me",https://www.youtube.com/watch?v=zctPuZms6GU,1.03,0.000,""
"Robbie Nevil   C'est la vie (Official Music Video)",https://www.youtube.com/watch?v=ffxDkzlX41s,1.1,0.000,""
"Simply Red - The Right Thing (Official Video)",https://www.youtube.com/watch?t=8&v=jLTJ5ktfyw8,1.1,8.180,""
"Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)",https://www.youtube.com/watch?v=dQw4w9WgXcQ,1,0.000,""
"Lisa Lisa & Cult Jam - Head To Toe",https://www.youtube.com/watch?v=51Iq8JmmfxY,1,0.000,""
"Eighth Wonder - I'm Not Scared (Video)",https://www.youtube.com/watch?v=J-PYqUHfTMA,1,0.000,""
"Eighth Wonder - I'm Not Scared (Video)",https://www.youtube.com/watch?t=5&v=J-PYqUHfTMA,1,5.259,""
"Open Up",https://www.youtube.com/watch?v=xBCeRLAFgcE,1,5.259,""
"Untitled",https://www.youtube.com/watch?v=0hmdaPFxjyQ,1,5.259,""
"Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)",https://www.youtube.com/watch?v=dQw4w9WgXcQ,1,0.000,""
"Lisa Lisa & Cult Jam - Head To Toe",https://www.youtube.com/watch?v=51Iq8JmmfxY,1,0.000,""
"Eighth Wonder - I'm Not Scared (Video)",https://www.youtube.com/watch?v=J-PYqUHfTMA,1,0.000,""
"Eighth Wonder - I'm Not Scared (Video)",https://www.youtube.com/watch?t=5&v=J-PYqUHfTMA,1,5.259,""
"Open Up",https://www.youtube.com/watch?v=xBCeRLAFgcE,1,5.259,""
"Untitled",https://www.youtube.com/watch?v=0hmdaPFxjyQ,1,5.259,""
"Sophie And Peter Johnston - Torn Open",https://www.youtube.com/watch?t=10&v=0hmdaPFxjyQ,1,5.259,""
"Exposé - Point Of No Return (Official Video)",https://www.youtube.com/watch?t=6&v=2v8YragSIuI,1,6.506,""
"Otra Bebera",https://www.youtube.com/watch?t=5&v=ED5IPzTwiBc,1,5.041,""
"Run For Cover (Album Version)",https://www.youtube.com/watch?t=17&v=elgTGWyOuiU,1,17.401,""
"Freeze Thaw",https://www.youtube.com/watch?t=3&v=YnYS79fwTpM,1,3.861,""
"Rendez-Vous",https://www.youtube.com/watch?v=qZeeyjfmFRc,1,3.861,""
"エルザ lsa  - T'en va pas 悲しみのアダージョ  仏歌詞 和訳",https://www.youtube.com/watch?v=YVBvSepZYQY,1.31,3.861,""
"エルザ lsa  - T'en va pas 悲しみのアダージョ  仏歌詞 和訳",https://www.youtube.com/watch?t=43&v=YVBvSepZYQY,1.31,3.861,""
"What Have I Done to Deserve This? (with Dusty Springfield) [2018 Remaster]",https://www.youtube.com/watch?t=3&v=UHxF8wqd2ns,1,3.317,""
"Swing Out Sister - Breakout (Official Music Video)",https://www.youtube.com/watch?t=3&v=IIOJdMdS56k,1,2.849,""
"Dip in the Pool: Dipping - 7 マルイ月トゥスヰート (Marui Tsuki Tosuwiito",https://www.youtube.com/watch?t=5&v=dapCJ-hWREc,1.05,5.119,""
"原田知世-05-螺旋状の涙 (Live 1987)",https://www.youtube.com/watch?v=9i9b3y8DOes,1.05,4.868,""
"Bananarama - I Heard A Rumour (Official HD Video)",https://www.youtube.com/watch?v=m-DZQ80vEVI,1.04,4.868,""
"TM NETWORK「Get Wild」Official Music Video",https://www.youtube.com/watch?v=r107W1YXrSM,1,4.868,""
"渡辺美里【MV】「My Revolution」",https://www.youtube.com/watch?v=zfcO3Y58m24,1,4.868,""
"Paris Le Flore (2006 Remaster)",https://www.youtube.com/watch?v=vh2qKe7S82k,1,4.868,""
"Swing Out Sister - Twilight World",https://www.youtube.com/watch?t=18&v=5Nl5zBqXc1o,1,18.127,""
"Anita Baker- Same Ole Love (Official Video)",https://www.youtube.com/watch?v=e1aSkJ7HNxA,1.2,18.127,""
"Sade - Love Is Stronger Than Pride - Official - 1988",https://www.youtube.com/watch?v=e2Ljkr9NmOg,1.2,18.127,""
