Title,URL,Speed,StartPos,Memo
Chante Moore   This Time Frankie Knuckles Bomb Mix,https://www.youtube.com/watch?v=sYP9F-kL8CM,1.07,18.071,
Inner City - Good Life,https://www.youtube.com/watch?t=19&v=eA8gUN34nlw,1.08,19.713,
Madonna Vogue Remix,https://www.youtube.com/watch?t=84&v=caY0quD9CEo,1.13,83.896,
Groove Collective - Watchugot (1994) ['Little' Louie Vega Alternate Vocal RMX],https://www.youtube.com/watch?t=86&v=IxQB0d6FHMY,1.08,86.666,
Crystal Waters - Gypsy Woman (She's Homeless) (Official Music Video),https://www.youtube.com/watch?t=36&v=_KztNIg4cvE,1.08,36.05,
Whitney Houston - I'm Every Woman (Official Video),https://www.youtube.com/watch?t=57&v=H7_sqdkaAfo,1.1,57.441,
Lil Louis  Club Lonely (Lonely People) feat. Joi Cardwell  [ Album Version ],https://www.youtube.com/watch?t=57&v=AqLmmM_sXH8,1.05,57.303,
A Guy Called Gerald - Voodoo Ray (OFFICIAL MUSIC VIDEO),https://www.youtube.com/watch?t=3&v=j7vxHOCeiQ4,1.07,3.342,
Soul II Soul - Back To Life (Masters At Work House Remix),https://www.youtube.com/watch?t=8&v=UFTPGUr30Gk,1.07,8.353,
Bjork - Big Time Sensuality (Justin Robertson Lionrock Wigout Mix),https://www.youtube.com/watch?t=49&v=ag9fcvIGcBQ,1.12,49.315,
Jaydee - Plastic Dreams [1993] (Official Video),https://www.youtube.com/watch?t=21&v=OJ2tHzhfUOg,1.07,21.674,
U2 Lemon (Bad Yard Club) by David Morales,https://www.youtube.com/watch?t=31&v=AidWvg44-a4,1.07,31.435,
Ce Ce Peniston   I'm In The Mood East 87th St  Mix,https://www.youtube.com/watch?v=MtbMw1s1Bew,1.07,31.435,
Ce Ce Peniston I'm In The Mood (Bad Yard Mix),https://www.youtube.com/watch?v=0HjxQ1Oa8Bs,1.08,31.435,
SABRYNAAH POPE - IT WORKS FOR ME (King Street Club Mix),https://www.youtube.com/watch?v=TqwdW9BlULE,1.04,46.087,
Hardfloor - Acperience 1,https://www.youtube.com/watch?v=Un4CeV_l3pI,1.04,46.087,
Hardrive ‎ EDeep Inside [1993],https://www.youtube.com/watch?t=24&v=OJ0WL4TJVCg,1.11,15.996,
Reel 2 Real feat. The Mad Stuntman - I Like To Move It (Official 4K Video),https://www.youtube.com/watch?t=18&v=vuo8kD5zF5I,1.07,18.071,
Judy Cheeks - So In Love (the real deal) Official Music Video,https://www.youtube.com/watch?v=KrKUObNAgd4,1.13,49.315,
Radical Nomads - La Da's Dance (Frankie Feliciano Happy Remix),https://www.youtube.com/watch?v=ZKPkgBltgKA,1.05,0.443,
Arnold Jarvis - Inspiration,https://www.youtube.com/watch?t=32&v=9dxyKkyNa8M,1.11,32.133,
The Good Men - Damn Woman (Extended Mix),https://www.youtube.com/watch?t=58&v=1Ft_cQfhjUU,1.04,58.795,
Kim English - Nitelife (Masters At Work Nite Mix),https://www.youtube.com/watch?t=32&v=Qw54TCw7bHw,1.1,32.269,
Kim English - I Get Lifted (The Underground Network Mix),https://www.youtube.com/watch?t=32&v=xcJPfei3iYE,1.02,32.022,
Jamiroquai - Space Cowboy (David Morales Classic Club Remix) [Audio],https://www.youtube.com/watch?v=XbOVvXmYWyI,1.04,0,
Barbala Tucker - Stay Together (Soulful Mix),https://www.youtube.com/watch?t=106&v=RGGsRcZyB64,1.05,106.755,
FRANKIE KNUCKLES Featuring ADEVA - Too Many Fish (Satoshi's 12'' Mix),https://www.youtube.com/watch?t=16&v=k0yrdPRKa94,1.05,16.878,
Danny Tenaglia ? Cevin Fisher - Move That Body,https://www.youtube.com/watch?v=JTmoo3h6Mhc,1.03,19.713,
Cece Peniston - Somebody Else's Guy (TuffJam Ladies Choice Dub),https://www.youtube.com/watch?t=1&v=Ww2fMxaiJZg,0.97,0.935,
David Morales // Needin' U (Anthem Mix) Definity Records  2001,https://www.youtube.com/watch?t=91&v=pbxaLr6M8jM,1,0,
The Brand New Heavies - You Are The Universe (Curtis & Moore's Universal Summer Groove),https://www.youtube.com/watch?v=i9vxOGG8fO4,1.03,0,
Akiko WHAT CHA EGONNA DO FOR ME (12inch) (1997年6朁E1日発売) プロチE��ース satoshi tomiie,https://www.youtube.com/watch?t=31&v=ngC6BDBJPKY,1.06,31.738,
The Boss - Braxtons (M.A.W. remix),https://www.youtube.com/watch?t=15&v=ocMe6nipA_c,1.03,15.678,
Amira: My Desire (Club Asylum Classic Vocal Mix),https://www.youtube.com/watch?v=6FAWHcjAfu8,1,0,
J T V Project - Sweetest Day Of May (Greed Vocal) 1995,https://www.youtube.com/watch?v=GJxopPZ5vWo,1.03,0,
Ultra Nat? ? Mood II Swing - Free (Mood II Swing Extended Vocal Mix Edit),https://www.youtube.com/watch?t=46&v=Ch0LGQjdMEo,1.03,46.087,
Moloko - Sing It Back (Boris Dlugosch Reprise),https://www.youtube.com/watch?v=5b5lWTMjfj8,1.03,46.087,
Masters At Work feat. India - To Be In Love (Original MAW Mix),https://www.youtube.com/watch?v=MkYgfrf95c8,1.07,0.463,
"Sharon Pass, Steve SILK Hurley - The Word Is Love (Mousse T's Kinda Deep Mix)",https://www.youtube.com/watch?v=5TidOGhJPWU,1.03,46.087,
Sex-O-Sonique - I Thought It Was You (12 Inch Mix),https://www.youtube.com/watch?t=8&v=3bivVoOaP6M,1.07,8.754,
Mariah Carey - Honey (Def Club Mix - Official Audio),https://www.youtube.com/watch?v=5q99Gg3Cl7s,1.03,46.087,
